mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;31.8.2021;1971,09;1976,86;1967,54;1967,54;-0,18;5723342,07
XZAG;CBX;HRZB00ICBEX6;30.8.2021;1966,71;1973,12;1964,99;1971,09;0,34;3400900,1
XZAG;CBX;HRZB00ICBEX6;27.8.2021;1962,45;1970,57;1962,45;1964,42;0,07;3490012,88
XZAG;CBX;HRZB00ICBEX6;26.8.2021;1957,8;1966,19;1955,18;1963;0,23;2772061,12
XZAG;CBX;HRZB00ICBEX6;25.8.2021;1961,59;1964,14;1957,23;1958,4;-0,14;3373685,55
XZAG;CBX;HRZB00ICBEX6;24.8.2021;1956,26;1962,76;1955,67;1961,18;0,25;6456554
XZAG;CBX;HRZB00ICBEX6;23.8.2021;1948,81;1956,26;1942,53;1956,26;0,51;7301976,5
XZAG;CBX;HRZB00ICBEX6;20.8.2021;1951,68;1952,6;1946,4;1946,4;-0,25;2658488,6
XZAG;CBX;HRZB00ICBEX6;19.8.2021;1964,09;1964,09;1950,82;1951,26;-0,63;4261531,86
XZAG;CBX;HRZB00ICBEX6;18.8.2021;1972,07;1974,64;1958,61;1963,58;-0,43;2435271,47
XZAG;CBX;HRZB00ICBEX6;17.8.2021;1971,99;1974,98;1967,5;1972,07;0,05;3564369,78
XZAG;CBX;HRZB00ICBEX6;16.8.2021;1965,5;1972,76;1963,9;1971,17;0,2;3107832,27
XZAG;CBX;HRZB00ICBEX6;13.8.2021;1959,95;1967,29;1958,66;1967,29;0,35;1862886,4
XZAG;CBX;HRZB00ICBEX6;12.8.2021;1963,95;1967,18;1959,92;1960,36;-0,18;3549527,4
XZAG;CBX;HRZB00ICBEX6;11.8.2021;1962,58;1966,3;1961,79;1963,95;0;3621858,78
XZAG;CBX;HRZB00ICBEX6;10.8.2021;1961,65;1965,5;1957,3;1963,92;0,12;2529049,35
