mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;18.6.2021;1225,85;1227,84;1224,89;1226,24;0,03;1604523,29
XZAG;CBX10;HRZB00ICBE11;17.6.2021;1226,22;1226,36;1219,35;1225,85;-0,03;3221158,42
XZAG;CBX10;HRZB00ICBE11;16.6.2021;1213,32;1226,22;1213,2;1226,22;1,08;5244868,19
XZAG;CBX10;HRZB00ICBE11;15.6.2021;1208,98;1215,75;1208,98;1213,09;0,41;2347047,2
XZAG;CBX10;HRZB00ICBE11;14.6.2021;1210,79;1212,68;1208,1;1208,1;-0,22;2307221,49
XZAG;CBX10;HRZB00ICBE11;11.6.2021;1208,67;1212,92;1207,55;1210,79;0,18;2693199,8
XZAG;CBX10;HRZB00ICBE11;10.6.2021;1209,96;1211,58;1206,31;1208,67;-0,18;2664080,73
XZAG;CBX10;HRZB00ICBE11;9.6.2021;1205,35;1211,3;1203,46;1210,84;0,56;2535937,87
XZAG;CBX10;HRZB00ICBE11;8.6.2021;1199,08;1204,12;1197,53;1204,12;0,31;2657211,28
XZAG;CBX10;HRZB00ICBE11;7.6.2021;1207,3;1208,43;1200,4;1200,4;-0,38;5329289,43
XZAG;CBX10;HRZB00ICBE11;4.6.2021;1208,04;1213,15;1204,9;1204,99;-0,23;7937485,62
XZAG;CBX10;HRZB00ICBE11;2.6.2021;1202,55;1207,71;1200,13;1207,71;0,43;4597271,02
XZAG;CBX10;HRZB00ICBE11;1.6.2021;1198,08;1203,93;1196,82;1202,55;0,48;1885916,54
XZAG;CBX10;HRZB00ICBE11;31.5.2021;1195,51;1196,82;1192,14;1196,82;0,14;1097051,24
XZAG;CBX10;HRZB00ICBE11;28.5.2021;1193,51;1197,65;1191,89;1195,1;0,13;2462221,2
XZAG;CBX10;HRZB00ICBE11;27.5.2021;1197,12;1198,89;1193,51;1193,51;-0,34;8089967,1
XZAG;CBX10;HRZB00ICBE11;26.5.2021;1196;1200,06;1193,3;1197,56;0,2;6009703,9
